epoch,step,train_acc,train_auc,train_f1,train_loss,train_recall,train_spec,valid_acc,valid_auc,valid_f1,valid_loss,valid_recall,valid_spec
0,7,,,,,,,0.5800215005874634,0.6047073602676392,0.4771028757095337,0.7881955504417419,0.4474959075450897,0.6798470616340637
0,7,0.5167875289916992,0.497670441865921,0.43265900015830994,0.7915076613426208,0.43024587631225586,0.5816034078598022,,,,,,
1,15,,,,,,,0.6433941721916199,0.658018171787262,0.5500816106796265,0.7828779816627502,0.5099946856498718,0.7438778877258301
1,15,0.621004581451416,0.6433347463607788,0.5136792659759521,0.7851345539093018,0.4673222303390503,0.7371540069580078,,,,,,
2,23,,,,,,,0.6433941721916199,0.6703057885169983,0.5584907531738281,0.7779483795166016,0.5274946093559265,0.7306957244873047
2,23,0.655116856098175,0.6839053630828857,0.5563512444496155,0.7791417241096497,0.5065363049507141,0.765511691570282,,,,,,
3,31,,,,,,,0.646616518497467,0.6735052466392517,0.5712474584579468,0.7733692526817322,0.5499950647354126,0.7193964123725891
3,31,0.6599516272544861,0.6984692811965942,0.5729677081108093,0.7734612822532654,0.5327747464179993,0.7559570074081421,,,,,,
4,39,,,,,,,0.6476906538009644,0.6755796670913696,0.5744301676750183,0.7691065669059753,0.5549957156181335,0.7175133228302002
4,39,0.6580714583396912,0.7011672258377075,0.5714514851570129,0.7684760093688965,0.5323871374130249,0.7523599863052368,,,,,,
5,47,,,,,,,0.6487647891044617,0.676115095615387,0.5793763399124146,0.7651305794715881,0.564995288848877,0.7118631601333618
5,47,0.6575342416763306,0.7040413022041321,0.5763936042785645,0.7634238004684448,0.5438518524169922,0.7430751919746399,,,,,,
6,55,,,,,,,0.6498388648033142,0.676348090171814,0.5811142921447754,0.7614363431930542,0.5674950480461121,0.7118631601333618
6,55,0.65699702501297,0.7039525508880615,0.5774012207984924,0.7591032981872559,0.546842634677887,0.7397459745407104,,,,,,
7,63,,,,,,,0.6476906538009644,0.6768398284912109,0.5817803740501404,0.7580378651618958,0.5724951028823853,0.7043299674987793
7,63,0.6580714583396912,0.704928457736969,0.5812744498252869,0.7546913027763367,0.5547592043876648,0.7358317375183105,,,,,,
8,71,,,,,,,0.6487647891044617,0.6770737767219543,0.5854238271713257,0.754810631275177,0.5799943208694458,0.7005636096000671
8,71,0.6599516272544861,0.7054720520973206,0.5874143242835999,0.7505536675453186,0.564729630947113,0.7313035130500793,,,,,,
9,79,,,,,,,0.6487647891044617,0.6772868037223816,0.586582362651825,0.7520222067832947,0.5824946761131287,0.6986802220344543
9,79,0.6629062294960022,0.7078440189361572,0.5904470682144165,0.7466009259223938,0.5672744512557983,0.7351316809654236,,,,,,
10,87,,,,,,,0.6476906538009644,0.6776301264762878,0.5869917273521423,0.7494791150093079,0.5849949717521667,0.6949134469032288
10,87,0.6642492413520813,0.7073670625686646,0.596095085144043,0.7432982921600342,0.5783427357673645,0.7278676629066467,,,,,,
11,95,,,,,,,0.6444683074951172,0.6780810356140137,0.584793210029602,0.7471285462379456,0.5849949717521667,0.6892639398574829
11,95,0.6655922532081604,0.707474410533905,0.5998477935791016,0.7402823567390442,0.5855602622032166,0.7254511713981628,,,,,,
12,103,,,,,,,0.6455424427986145,0.6783672571182251,0.5885539650917053,0.7449860572814941,0.5924947261810303,0.6854971647262573
12,103,0.6634434461593628,0.7100932598114014,0.5974647402763367,0.7369731068611145,0.5827725529670715,0.7239537239074707,,,,,,
13,111,,,,,,,0.6455424427986145,0.6786906123161316,0.589490532875061,0.7430483102798462,0.5949944853782654,0.6836140751838684
13,111,0.664517879486084,0.7099535465240479,0.6023850440979004,0.7343066930770874,0.59261155128479,0.7190848588943481,,,,,,
14,119,,,,,,,0.6476906538009644,0.6791728734970093,0.5961490273475647,0.7413532137870789,0.6074948906898499,0.6779639720916748
14,119,0.6663980484008789,0.7081361413002014,0.6041173338890076,0.7319355607032776,0.5963044166564941,0.7193909883499146,,,,,,
15,127,,,,,,,0.6519871354103088,0.679611325263977,0.6028689742088318,0.7397465109825134,0.617494523525238,0.6779639720916748
15,127,0.6639806628227234,0.7093087434768677,0.6045641303062439,0.729494035243988,0.5987296104431152,0.7128410339355469,,,,,,
16,135,,,,,,,0.6530612111091614,0.6800012588500977,0.6036068201065063,0.7383279800415039,0.617494523525238,0.6798473596572876
16,135,0.6666666865348816,0.7106274366378784,0.607825756072998,0.7274631857872009,0.6029551029205322,0.7140708565711975,,,,,,
17,143,,,,,,,0.6530612111091614,0.6805329918861389,0.6064406037330627,0.7371224761009216,0.6249942779541016,0.674197793006897
17,143,0.6655922532081604,0.7114715576171875,0.6085034012794495,0.7253556847572327,0.6070337891578674,0.709479808807373,,,,,,
18,151,,,,,,,0.6541353464126587,0.6808696389198303,0.6071822643280029,0.7360497713088989,0.6249942779541016,0.6760811805725098
18,151,0.6631748676300049,0.7117994427680969,0.6061364412307739,0.723484218120575,0.6044085025787354,0.7071282863616943,,,,,,
19,159,,,,,,,0.6573576927185059,0.6814213991165161,0.6130303740501404,0.7350640296936035,0.6349939107894897,0.674197793006897
19,159,0.6650550365447998,0.7123720645904541,0.6099579930305481,0.7219492793083191,0.6106505393981934,0.7061496376991272,,,,,,
20,167,,,,,,,0.6573576927185059,0.6817162036895752,0.6130303740501404,0.7341814041137695,0.6349939107894897,0.674197793006897
20,167,0.6607574820518494,0.7114689350128174,0.6048848628997803,0.7206050753593445,0.6055473685264587,0.7025124430656433,,,,,,
21,175,,,,,,,0.6584317684173584,0.6822307705879211,0.6148251295089722,0.733426034450531,0.6374942064285278,0.674197793006897
21,175,0.6650550365447998,0.7125877141952515,0.610969603061676,0.7190738916397095,0.6144347786903381,0.7037115693092346,,,,,,
22,183,,,,,,,0.6595059037208557,0.6824552416801453,0.6166099309921265,0.732737123966217,0.6399944424629211,0.674197793006897
22,183,0.666129469871521,0.7122242450714111,0.6120659112930298,0.7175118327140808,0.6142975687980652,0.7045301198959351,,,,,,
23,191,,,,,,,0.660580039024353,0.6827443838119507,0.6183846592903137,0.7321352362632751,0.6424947381019592,0.674197793006897
23,191,0.6629062294960022,0.7126786708831787,0.6094240546226501,0.7164809703826904,0.6134322285652161,0.6992342472076416,,,,,,
24,199,,,,,,,0.660580039024353,0.6829517483711243,0.6192204356193542,0.7316828966140747,0.6449944972991943,0.672314465045929
24,199,0.666129469871521,0.7136226296424866,0.6127415299415588,0.7150348424911499,0.6165865659713745,0.702601969242096,,,,,,
25,207,,,,,,,0.6627282500267029,0.6832722425460815,0.6223598122596741,0.7312677502632141,0.6499940156936646,0.672314465045929
25,207,0.6639806628227234,0.7134749889373779,0.612109363079071,0.714485764503479,0.6171952486038208,0.6991164684295654,,,,,,
26,215,,,,,,,0.6616541147232056,0.6836099028587341,0.6216138005256653,0.7308791279792786,0.6499940156936646,0.6704310178756714
26,215,0.6650550365447998,0.7140894532203674,0.612704873085022,0.7134685516357422,0.6195041537284851,0.6987683773040771,,,,,,
27,223,,,,,,,0.6595059037208557,0.6838666796684265,0.6219645142555237,0.7305939793586731,0.6549940705299377,0.6628981828689575
27,223,0.664517879486084,0.7149564027786255,0.6128918528556824,0.7124155759811401,0.6210909485816956,0.6972934007644653,,,,,,
28,231,,,,,,,0.6595059037208557,0.684002697467804,0.6219645142555237,0.7303276658058167,0.6549940705299377,0.6628981828689575
28,231,0.6672038435935974,0.7146558165550232,0.620309054851532,0.7118690609931946,0.6337860226631165,0.6927739977836609,,,,,,
